,season,team,strength,TOI,goals,goals_against
214,2020,Calgary Flames,"(5, 3)",77,1,0
215,2020,Calgary Flames,"(3, 5)",284,0,4
216,2020,Pittsburgh Penguins,"(5, 5)",190093,156,127
217,2020,Pittsburgh Penguins,"(5, 4)",15648,38,4
218,2020,Pittsburgh Penguins,"(4, 5)",16654,6,34
219,2020,Pittsburgh Penguins,"(4, 4)",2578,2,3
220,2020,Pittsburgh Penguins,"(3, 3)",2268,5,2
221,2020,Pittsburgh Penguins,"(4, 3)",38,0,0
222,2020,Pittsburgh Penguins,"(3, 4)",252,0,1
223,2020,Pittsburgh Penguins,"(5, 3)",156,1,0
224,2020,Pittsburgh Penguins,"(3, 5)",139,1,3
225,2020,Winnipeg Jets,"(5, 5)",196337,138,130
226,2020,Winnipeg Jets,"(5, 4)",18032,37,6
227,2020,Winnipeg Jets,"(4, 5)",17093,4,32
228,2020,Winnipeg Jets,"(4, 4)",2443,2,3
229,2020,Winnipeg Jets,"(3, 3)",1068,6,1
230,2020,Winnipeg Jets,"(4, 3)",0,0,0
231,2020,Winnipeg Jets,"(3, 4)",188,0,0
232,2020,Winnipeg Jets,"(5, 3)",96,3,0
233,2020,Winnipeg Jets,"(3, 5)",117,0,2
234,2020,Philadelphia Flyers,"(5, 5)",166799,121,143
235,2020,Philadelphia Flyers,"(5, 4)",16377,31,6
236,2020,Philadelphia Flyers,"(4, 5)",15993,1,44
237,2020,Philadelphia Flyers,"(4, 4)",1901,2,1
238,2020,Philadelphia Flyers,"(3, 3)",2813,4,2
239,2020,Philadelphia Flyers,"(4, 3)",334,1,0
240,2020,Philadelphia Flyers,"(3, 4)",527,0,1
241,2020,Philadelphia Flyers,"(5, 3)",412,0,0
242,2020,Philadelphia Flyers,"(3, 5)",94,0,0
243,2020,Buffalo Sabres,"(5, 5)",171375,97,153
244,2020,Buffalo Sabres,"(5, 4)",14405,30,5
245,2020,Buffalo Sabres,"(4, 5)",13824,5,29
246,2020,Buffalo Sabres,"(4, 4)",1827,1,3
247,2020,Buffalo Sabres,"(3, 3)",2294,0,4
248,2020,Buffalo Sabres,"(4, 3)",31,0,0
249,2020,Buffalo Sabres,"(3, 4)",110,0,0
250,2020,Buffalo Sabres,"(5, 3)",180,0,0
251,2020,Buffalo Sabres,"(3, 5)",212,0,2
252,2020,St. Louis Blues,"(5, 5)",180710,121,136
253,2020,St. Louis Blues,"(5, 4)",15514,35,2
254,2020,St. Louis Blues,"(4, 5)",16721,7,40
255,2020,St. Louis Blues,"(4, 4)",2617,3,0
256,2020,St. Louis Blues,"(3, 3)",3032,5,5
257,2020,St. Louis Blues,"(4, 3)",73,2,0
258,2020,St. Louis Blues,"(3, 4)",283,0,1
259,2020,St. Louis Blues,"(5, 3)",95,1,0
260,2020,St. Louis Blues,"(3, 5)",285,0,3
261,2020,Minnesota Wild,"(5, 5)",187750,154,134
262,2020,Minnesota Wild,"(5, 4)",18225,27,4
263,2020,Minnesota Wild,"(4, 5)",18136,2,33
264,2020,Minnesota Wild,"(4, 4)",2761,2,4
265,2020,Minnesota Wild,"(3, 3)",1978,6,4
266,2020,Minnesota Wild,"(4, 3)",290,1,0
267,2020,Minnesota Wild,"(3, 4)",120,0,0
268,2020,Minnesota Wild,"(5, 3)",112,1,0
269,2020,Minnesota Wild,"(3, 5)",134,0,0
270,2020,New York Islanders,"(5, 5)",233177,159,134
271,2020,New York Islanders,"(5, 4)",19284,35,2
272,2020,New York Islanders,"(4, 5)",17138,4,35
273,2020,New York Islanders,"(4, 4)",3108,2,2
274,2020,New York Islanders,"(3, 3)",2923,3,3
275,2020,New York Islanders,"(4, 3)",548,1,0
276,2020,New York Islanders,"(3, 4)",296,0,1
277,2020,New York Islanders,"(5, 3)",62,1,0
278,2020,New York Islanders,"(3, 5)",340,0,1
279,2020,Edmonton Oilers,"(5, 5)",183811,134,130
280,2020,Edmonton Oilers,"(5, 4)",17200,46,4
281,2020,Edmonton Oilers,"(4, 5)",16235,2,30
282,2020,Edmonton Oilers,"(4, 4)",2073,1,2
283,2020,Edmonton Oilers,"(3, 3)",544,4,2
284,2020,Edmonton Oilers,"(4, 3)",30,1,0
285,2020,Edmonton Oilers,"(3, 4)",62,0,0
286,2020,Edmonton Oilers,"(5, 3)",200,3,0
287,2020,Edmonton Oilers,"(3, 5)",0,0,0
